ICAO24,Callsign,Origin,TimePos,LastContact,Long,Lat,Alt,OnGround,Speed,Heading,VertRate,Sensors,GeoAlt,Squawk,SPI,Source
a1f17e,N224SS  ,United States,2025-05-01 12:46:16,2025-05-01 12:46:16,-73.1075,44.0052,388.62,No,49.05,77.28,-5.53,No Data,419.1,No Data,False,0
c049f0,CGBZZ   ,Canada,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.292,45.4461,266.7,No,49.66,166.83,0.0,No Data,274.32,No Data,False,0
c06ac7,CGOLI   ,Canada,2025-05-01 12:46:10,2025-05-01 12:46:45,-73.4161,45.5126,-30.48,No,6.51,71.57,0.0,No Data,-7.62,No Data,False,0
c01116,CFGMF   ,Canada,2025-05-01 12:50:43,2025-05-01 12:50:46,-74.2213,43.9387,3139.44,No,42.19,359.3,0.65,No Data,3154.68,No Data,False,0
a7abfe,N5938B  ,United States,2025-05-01 12:46:15,2025-05-01 12:46:15,-73.3605,44.3389,381.0,No,41.57,257.86,-1.63,No Data,403.86,No Data,False,0
a14d7a,N183T   ,United States,2025-05-01 12:50:44,2025-05-01 12:50:45,-73.1051,44.3899,1996.44,No,134.81,200.79,27.64,No Data,2026.92,No Data,False,0
a887ef,BTQ915  ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-74.7924,44.9519,792.48,No,73.97,95.99,13.0,No Data,792.48,No Data,False,0
ad0b09,N94CH   ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-73.9834,45.5467,4800.6,No,160.59,247.79,-0.65,No Data,4861.56,No Data,False,0
abcc27,N8597U  ,United States,2025-05-01 12:46:15,2025-05-01 12:46:15,-73.4137,43.9342,243.84,No,46.43,164.58,0.33,No Data,243.84,No Data,False,0
a399de,DAL2655 ,United States,2025-05-01 12:50:46,2025-05-01 12:50:46,-78.7821,43.8241,10668.0,No,263.29,104.72,0.0,No Data,10919.46,2452,False,0
a2a3af,UAL908  ,United States,2025-05-01 12:50:45,2025-05-01 12:50:45,-76.753,45.9923,10972.8,No,205.78,247.67,0.0,No Data,11163.3,6440,False,0
c07797,CGTHM   ,Canada,2025-05-01 12:47:52,2025-05-01 12:47:52,-75.6402,45.4656,297.18,No,50.67,15.31,0.0,No Data,304.8,No Data,False,0
